ExtensionID,ExtensionURL,ExtensionName
fphgeikpdcdcheaochkhldmnfblfogla,https://chrome.google.com/webstore/detail/fphgeikpdcdcheaochkhldmnfblfogla,
cnlefmmeadmemmdciolhbnfeacpdfbkd,https://chrome.google.com/webstore/detail/cnlefmmeadmemmdciolhbnfeacpdfbkd,
inomeogfingihgjfjlpeplalcfajhgai,https://chrome.google.com/webstore/detail/inomeogfingihgjfjlpeplalcfajhgai,Chrome Remote Desktop
majdfhpaihoncoakbjgbdhglocklcgno,https://chrome.google.com/webstore/detail/majdfhpaihoncoakbjgbdhglocklcgno,Free VPN for Chrome - VPN Proxy VeePN
gmohoglkppnemohbcgjakmgengkeaphi,https://chrome.google.com/webstore/detail/gmohoglkppnemohbcgjakmgengkeaphi,2FA Authenticator app
jijophmdjdapikfmbckmhhiheghkgoee,https://chrome.google.com/webstore/detail/jijophmdjdapikfmbckmhhiheghkgoee,AmzGPT: Amazon listing edit
bchkdkhfodkkpohjhabdgfhpgjkkgfhg,https://chrome.google.com/webstore/detail/bchkdkhfodkkpohjhabdgfhpgjkkgfhg,AnswerAI - Homework AI Tutor & Study Helper
iapifmceeokikomajpccajhjpacjmibe,https://chrome.google.com/webstore/detail/iapifmceeokikomajpccajhjpacjmibe,Auto Clicker - AutoFill
idlepjdnhiagmieafhenbeaacbgiolde,https://chrome.google.com/webstore/detail/idlepjdnhiagmieafhenbeaacbgiolde,Auto Clicker
jgjaeacdkonaoafenlfkkkmbaopkbilf,https://chrome.google.com/webstore/detail/jgjaeacdkonaoafenlfkkkmbaopkbilf,ChatGPT for Google
bijihlabcfdnabacffofojgmehjdielb,https://chrome.google.com/webstore/detail/bijihlabcfdnabacffofojgmehjdielb,Keep Awake
liecbddmkiiihnedobmlmillhodjkdmb,https://chrome.google.com/webstore/detail/liecbddmkiiihnedobmlmillhodjkdmb,Loom – Screen Recorder & Screen Capture
iibninhmiggehlcdolcilmhacighjamp,https://chrome.google.com/webstore/detail/iibninhmiggehlcdolcilmhacighjamp,Magical: AI Agent for Autofill Automation
okfkdaglfjjjfefdcppliegebpoegaii,https://chrome.google.com/webstore/detail/okfkdaglfjjjfefdcppliegebpoegaii,"Scribe: AI Documentation, SOPs & Screenshots"
khhnlfooiiffofchhdhjopgpegcjlodk,https://chrome.google.com/webstore/detail/khhnlfooiiffofchhdhjopgpegcjlodk,Table Browser Caller for D365FO
jiihcciniecimeajcniapbngjjbonjan,https://chrome.google.com/webstore/detail/jiihcciniecimeajcniapbngjjbonjan,Vidyard - Screen Recorder & Screen Capture
bihmplhobchoageeokmgbdihknkjbknd,https://chrome.google.com/webstore/detail/bihmplhobchoageeokmgbdihknkjbknd,Touch VPN - Secure and unlimited VPN proxy
bfidboloedlamgdmenmlbipfnccokknp,https://chrome.google.com/webstore/detail/bfidboloedlamgdmenmlbipfnccokknp,PureVPN Proxy - Best VPN for Chrome
gkojfkhlekighikafcpjkiklfbnlmeio,https://chrome.google.com/webstore/detail/gkojfkhlekighikafcpjkiklfbnlmeio,Hola VPN - Your Website Unblocker
fgddmllnllkalaagkghckoinaemmogpe,https://chrome.google.com/webstore/detail/fgddmllnllkalaagkghckoinaemmogpe,ExpressVPN: VPN proxy for a better internet
blgcbajigpdfohpgcmbbfnphcgifjopc,https://chrome.google.com/webstore/detail/blgcbajigpdfohpgcmbbfnphcgifjopc,ExpressVPN Keys: Password Manager
gipocgejiebilnhkjplhfklahbdndlli,https://chrome.google.com/webstore/detail/gipocgejiebilnhkjplhfklahbdndlli,
dgbhmbogkcdheijkkdmfhodkamcaiheo,https://chrome.google.com/webstore/detail/dgbhmbogkcdheijkkdmfhodkamcaiheo,
neaplmfkghagebokkhpjpoebhdledlfi,https://chrome.google.com/webstore/detail/neaplmfkghagebokkhpjpoebhdledlfi,
eghgdppgmgnipiomjkkhhcihpogpcodk,https://chrome.google.com/webstore/detail/eghgdppgmgnipiomjkkhhcihpogpcodk,
fkdjnclchnjiboiobfgnjifkckngbnkb,https://chrome.google.com/webstore/detail/fkdjnclchnjiboiobfgnjifkckngbnkb,
djflhoibgkdhkhhcedjiklpkjnoahfmg,https://chrome.google.com/webstore/detail/djflhoibgkdhkhhcedjiklpkjnoahfmg,User-Agent Switcher for Chrome
inledacgphbcoihlbhmnkkbkgmjldbbi,https://chrome.google.com/webstore/detail/inledacgphbcoihlbhmnkkbkgmjldbbi,Auto Clicker - MT Auto Clicker [Beta Version]
